                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.50457,                0.35108,                0.88002,                0.99707,                0.97531,                0.98704,                0.84492,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.50364,                0.35162,                0.87945,                0.98927,                0.97531,                0.98741,                0.85251,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                 0.4988,                0.34764,                 0.8741,                0.98764,                0.98668,                0.98969,                0.85339,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.50095,                0.34776,                0.88133,                0.98677,                0.98765,                0.99405,                 0.8465,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.49498,                0.34893,                0.88219,                0.98765,                0.98718,                0.99452,                0.83842,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.48837,                0.34777,                0.87097,                0.98704,                0.98765,                0.98963,                0.83302,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.46923,                0.32807,                0.86847,                0.98666,                0.98765,                0.98901,                0.83856,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.47167,                0.32873,                 0.8639,                0.98763,                0.98604,                0.98853,                 0.8231,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.47564,                0.33176,                0.87107,                0.98762,                0.98459,                0.98871,                0.83724,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.47405,                0.32383,                0.87281,                0.99644,                0.98765,                0.99442,                0.83852,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                 0.4554,                0.32205,                 0.8649,                0.98604,                0.98765,                0.99441,                0.84071,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.46054,                0.32526,                0.86878,                0.99431,                0.98765,                0.99294,                0.84833,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                 0.4389,                0.31323,                0.85682,                0.98765,                0.98765,                0.98961,                0.84563,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                 0.4523,                0.31218,                 0.8663,                0.98763,                0.98564,                0.98892,                0.84617,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.44835,                0.31828,                0.86475,                 0.9851,                0.98765,                0.98829,                0.85051,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.44102,                0.31405,                 0.8623,                      1,                0.98374,                0.98831,                0.82711,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.43739,                0.31215,                0.86686,                 0.9846,                0.98765,                0.98721,                0.82893,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.43159,                 0.3069,                0.85876,                0.98603,                0.98765,                0.98869,                 0.8306,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.43531,                0.30595,                0.86289,                0.98745,                0.98765,                0.98873,                0.83775,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.43381,                0.30863,                0.85965,                0.98614,                0.98765,                0.98826,                0.83849,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.42881,                0.31014,                 0.8567,                0.98765,                0.98697,                 0.9866,                0.83853,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.41647,                0.29799,                0.85583,                 0.9865,                0.97531,                0.98885,                0.84162,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.40702,                0.28774,                0.85201,                0.98549,                0.98765,                0.98998,                0.83997,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.39659,                0.28778,                  0.851,                      1,                0.98645,                0.98888,                0.84419,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.39619,                0.28386,                0.85486,                0.99813,                0.98765,                0.98944,                0.84268,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.39905,                0.29078,                0.85755,                0.99931,                0.98765,                0.98953,                0.84961,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.39495,                 0.2821,                0.85108,                 0.9868,                0.98765,                0.98971,                0.84875,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.39119,                0.28154,                0.84706,                0.98652,                0.98765,                0.98928,                0.84967,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.37937,                0.27586,                0.84744,                      1,                0.98661,                 0.9895,                0.84845,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.36578,                 0.2509,                0.81845,                 0.9926,                0.98765,                0.98822,                0.82947,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.34742,                0.24254,                0.81282,                0.99444,                0.97531,                0.98932,                0.84435,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.34862,                0.24341,                 0.8024,                0.99564,                0.97531,                0.98883,                 0.8456,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.34417,                0.24396,                0.80843,                0.98763,                0.98586,                0.98968,                0.84073,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.33163,                 0.2398,                0.80648,                0.98747,                0.98765,                0.98938,                0.83541,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.33269,                0.24034,                 0.8073,                0.98681,                0.98765,                0.98944,                0.84513,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.31615,                0.22579,                0.80057,                0.98709,                0.98765,                0.98975,                0.84338,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.32698,                 0.2287,                0.80016,                 0.9868,                0.98765,                0.98975,                0.84157,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.31786,                0.22339,                0.80145,                0.98691,                0.98765,                0.98961,                0.83625,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.31595,                0.22408,                0.80762,                0.98683,                0.98765,                0.98961,                0.84707,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
